RUN,Hit Finding,SeparateStrongFromWeak,FinerInspection,IncreaseThreshold -t 50,IncreaseThreshold -t 100,sortHits,Ice Ratio (%),SAMPLE,COMMENT,NOZZLE,DATE (m/d/y),START TIME (hh:mm:ss),END TIME (hh:mm:ss),LENGTH (mm:ss),MCC ENERGY (eV),PULSE LENGTH (fs),REP RATE    (Hz),CHARGE (pC),PULSE ENERGY (mJ),FOCAL SIZE (um^2),SILICON FILTERS (um),TRANSMISSION,ATTENUATION CHANGED DURING RUN?,ATTENUATOR IN FRONT OF FRONT DETECTOR (um),SAMPLE-DETECTOR Z (mm),DS1 POS Z (mm),DS1 QMAX (Å-1),DS1 MOVED DURING RUN?,DSD POS Z (mm),DSD QMAX (Å-1),DSD MOVED DURING RUN?,SAMPLE X POS ROUGH (mm),SAMPLE Y POS ROUGH (mm),SAMPLE Z POS ROUGH (mm),SAMPLE X POS FINE (encoder),SAMPLE Z POS FINE (encoder),DISTANCE FROM NOZZLE (mm),CHANGED Y OR Z POS DURING RUN?,PRESSURE SAMPLE CHAMBER (torr),PRESSURE DETECTOR STAGE (torr),GAS PRESSURE (PSI N2),LIQUID PRESSURE (PSI He),PIEZO WAVEFORM,PIEZO FREQUENCY (Hz),PIEZO AMPLITUDE (Vpp),NOZZLE DIAMETER (pixels),JET DIAMETER MEASURE AT?,JET DIAMETER (um),FLOW RATE (ul/min),DROPLET VELOCITY (m/s),DROPLET DIAMETER (um),DROPLET-DROPLET DISTANCE (um),CALCULATED TEMPERATURE (K),DAQ MODE,# OF FILES (.xtc),SIZE (GB),FRAMES / GB,FRAMES PROCESSED,#HITS hitfinder,RATE (%) hitfinder,#ICEHITS hitfinder,ICE RATIO,COMMENT copy,run copy,runnum,nxtc,sizextc,nfr,darksub,hitf,nhitf,hitfADC,hitfNAT,hitfr,icef,nicef,icefADC,icefNAT,icefr,comment,type0,type0 < 50ADUs,50ADUs < type0 < 100ADUs,type1,type1 < 50ADUs,50ADUs < type1 < 100ADUs,type2,type3,strong hits,strong hits > 50ADUs,strong hits > 100ADUs,type0 damagedHits,type1 damagedHits,type0 failedFits,type1 failedFits,type0 damagedHits > 50ADUs,type1 damagedHits > 50ADUs,type0 failedFits > 50ADUs,type1 failedFits > 50ADUs,type0 damagedHits > 100ADUs,type1 damagedHits > 100ADUs,type0 failedFits > 100ADUs,type1 failedFits > 100ADUs
87,,,,,,,,dark calibration,bad run,,1/19/2013,,,,,,,,,,,,,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,6,42,84,3531,0,0.00,0,0.00,bad run,87,87,6,42,3531,-1,1,0,50,10000,0,1,0,500,40,0,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0
88,,,,,,,,dark calibration,,,1/20/2013,07:02:12,07:05:51,2:49,,,,,,,,,,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,6,225,90,20156,0,0.00,0,0.00,,88,88,6,225,20156,-1,1,0,50,10000,0,1,0,500,40,0,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0
89,X: 9193 hits,,,,,,,H2O,~12.7 um droplets ~300 um away from the nozzle,CXI Feb2011-1,1/20/2013,09:48:04,09:54:22,6:18,9400,50,120,150,3.17,1.5x1.5,0,1.00E+00,,220,129.014,-449.986,,,,,,2.3877,-139.7,2.5303,15,-1399969,0.300000000000011,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,120Hz-Cont,10,438,99,43324,9193,21.22,850,1.96,~12.7 um droplets ~300 um away from the nozzle,89,89,10,438,43324,-1,1,9193,50,10000,21.22,1,850,500,10,1.96,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0
90,X: 167 hits,X: 0 weak; 167 strong,X: 166 (0); 1 (3),X: 16 (0); 0 (1),X: 10 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~30 mm away from the nozzle; lots of damaged events,CXI Feb2011-1,1/20/2013,09:58:56,10:01:51,2:55,9400,50,120,150,3.17,1.5x1.5,160,2.38E-01,,,129.0136,-449.9864,,,,,,4.291,-109.6999,2.6289,15,-1399969,30.3599791314158,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,120Hz-Cont,6,202,100,20111,167,0.83,87,0.43,~12.7 um droplets ~30 mm away from the nozzle; lots of damaged events,90,90,6,202,20111,-1,1,167,50,10000,0.83,1,87,1000,10,0.43,DONE,166,16,10,0,0,0,0,1,166,150,140,0,0,0,0,0,0,0,0,0,0,0,0
91,X: 283 hits,X: 0 weak; 283 strong,X: 279 (0); 1 (2); 3 (3),X: 49 (0); 0 (1),X: 24 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~30 mm away from the nozzle,CXI Feb2011-1,1/20/2013,10:01:54,10:06:10,4:16,9400,50,120,150,3.17,1.5x1.5,160,2.38E-01,,,129.0134,-449.9866,,,,,,4.291,-109.6999,2.6289,15,-1399969,30.3599791314158,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,120Hz-Cont,6,288,106,30633,283,0.92,127,0.41,~12.7 um droplets ~30 mm away from the nozzle,91,91,6,288,30633,-1,1,283,50,10000,0.92,1,127,1000,10,0.41,DONE,279,49,24,0,0,0,1,3,279,230,206,0,0,0,0,0,0,0,0,0,0,0,0
92,X: 180 hits,X: 0 weak; 180 strong,X: 178 (0); 2 (2),X: 22 (0); 0 (1),X: 10 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~30 mm away from the nozzle,CXI Feb2011-1,1/20/2013,10:06:18,10:10:08,3:50,9400,50,120,150,3.17,1.5x1.5,160,2.38E-01,,,129.0132,-449.9868,,,,,,4.291,-109.6999,2.6289,15,-1399969,30.3599791314158,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,120Hz-Cont,5,260,104,26921,180,0.67,91,0.34,~12.7 um droplets ~30 mm away from the nozzle,92,92,5,260,26921,-1,1,180,50,10000,0.67,1,91,1000,10,0.34,DONE,178,22,10,0,0,0,2,0,178,156,146,0,0,0,0,0,0,0,0,0,0,0,0
93,X: 1605 hits,X: 0 weak; 1605 strong,X: 1582 (0); 3 (1); 14 (2); 6 (3),X: 201 (0); 1 (1),X: 147 (0); 0 (1),,0.19,H2O,~12.7 um droplets ~30 mm away from the nozzle,CXI Feb2011-1,1/20/2013,10:10:14,10:37:49,27:35,9400,50,120,150,3.17,1.5x1.5,160,2.38E-01,,,129.0132,-449.9868,,,,,,4.291,-109.6999,2.6289,15,-1399969,30.3599791314158,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,120Hz-Cont,24,1874,105,197046,1605,0.81,752,0.38,~12.7 um droplets ~30 mm away from the nozzle,93,93,24,1874,197046,-1,1,1605,50,10000,0.81,1,752,1000,10,0.38,DONE,1582,201,147,3,1,0,14,6,1585,1383,1236,0,0,0,0,0,0,0,0,0,0,0,0
94,,,,,,,,dark calibration,,,1/20/2013,10:37:53,10:39:03,1:10,,,,,,,,,,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz-Cont,6,81,103,8333,0,0.00,0,0.00,,94,94,6,81,8333,-1,1,0,1,1000,0,0,0,500,40,0,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0
95,X: 634 hits,X: 0 weak; 634 strong,X: 628 (0); 4 (1); 2 (2),X: 83 (0); 0 (1),X: 63 (0); 3 (1),,0.63,H2O,~12.7 um droplets ~30 mm away from the nozzle,CXI Feb2011-1,1/20/2013,10:39:07,10:48:11,9:04,9400,50,120,150,3.17,1.5x1.5,160,2.38E-01,,,129.0122,-449.9878,,,,,,4.291,-109.6999,2.6289,21,-1399962,30.3599811258526,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,120Hz-Cont,12,624,102,63811,634,0.99,314,0.49,~12.7 um droplets ~30 mm away from the nozzle,95,95,12,624,63811,-1,1,634,50,10000,0.99,1,314,1000,10,0.49,DONE,628,83,63,4,0,3,2,0,632,549,483,0,0,0,0,0,0,0,0,0,0,0,0
96,X: 1556 hits,X: 0 weak; 1556 strong,X: 1543 (0); 8 (2); 5 (3),X: 219 (0); 0 (1),X: 119 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~30 mm away from the nozzle,CXI Feb2011-1,1/20/2013,10:48:20,11:13:24,25:04,9400,50,120,150,3.17,1.5x1.5,160,2.38E-01,,,129.0122,-449.9878,,,,,,4.2852,-109.6999,2.6289,23,-1399958,30.3596187537101,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,120Hz-Cont,24,1716,104,179230,1556,0.87,722,0.40,~12.7 um droplets ~30 mm away from the nozzle,96,96,24,1716,179230,-1,1,1556,50,10000,0.87,1,722,1000,10,0.4,DONE,1543,219,119,0,0,0,8,5,1543,1324,1205,0,0,0,0,0,0,0,0,0,0,0,0
97,X: 1245 hits,X: 0 weak; 1245 strong,X: 1234 (0); 6 (2); 5 (3),X: 156 (0); 0 (1),X: 94 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~30 mm away from the nozzle,CXI Feb2011-1,1/20/2013,11:13:27,11:32:30,19:03,9400,50,120,150,3.17,1.5x1.5,160,2.38E-01,,,129.012,-449.988,,,,,,4.2852,-109.6999,2.6289,23,-1399958,30.3596187537101,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,120Hz-Cont,18,1328,100,133414,1245,0.93,607,0.45,~12.7 um droplets ~30 mm away from the nozzle,97,97,18,1328,133414,-1,1,1245,50,10000,0.93,1,607,1000,10,0.45,DONE,1234,156,94,0,0,0,6,5,1234,1078,984,0,0,0,0,0,0,0,0,0,0,0,0
98,X: 1248 hits,X: 0 weak; 1248 strong,X: 1238 (0); 3 (1); 6 (2); 1 (3),X: 128 (0); 2 (1),X: 89 (0); 1 (1),,0.24,H2O,~12.7 um droplets ~30 mm away from the nozzle,CXI Feb2011-1,1/20/2013,11:32:33,11:48:38,16:05,9400,50,120,150,3.17,1.5x1.5,160,2.38E-01,,,129.0118,-449.9882,,,,,,4.2852,-109.6999,2.6289,23,-1399958,30.3596187537101,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,120Hz-Cont,18,1098,105,115540,1248,1.08,625,0.54,~12.7 um droplets ~30 mm away from the nozzle,98,98,18,1098,115540,-1,1,1248,50,10000,1.08,1,625,1000,10,0.54,DONE,1238,128,89,3,2,1,6,1,1241,1111,1021,0,0,0,0,0,0,0,0,0,0,0,0
99,,,,,,,,dark calibration,,,1/20/2013,11:48:44,11:50:48,2:04,,,,,,,,,,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,141,105,14816,0,0.00,0,0.00,,99,99,6,141,14816,-1,1,0,50,10000,0,1,0,500,40,0,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0
100,X: 455 hits,X: 0 weak; 455 strong,X: 452 (0); 1 (1); 2 (2),X: 434 (0); 1 (1),X: 18 (0); 0 (1),,0.22,H2O,~12.7 um droplets ~35 mm away from the nozzle,CXI Feb2011-1,1/20/2013,11:50:52,12:09:46,18:54,9400,50,120,150,3.17,1.5x1.5,480,1.36E-02,,,129.0116,-449.9884,,,,,,4.6543,-104.6999,2.5791,23,-1399958,35.3728300212271,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,18,1291,104,134509,455,0.34,3,0.00,~12.7 um droplets ~35 mm away from the nozzle,100,100,18,1291,134509,-1,1,455,50,10000,0.34,1,3,500,10,0,DONE,452,434,18,1,1,0,2,0,453,18,0,0,0,0,0,0,0,0,0,0,0,0,0
101,X: 1061 hits,X: 0 weak; 1061 strong,X: 1054 (0); 2 (1); 3 (2); 2 (3),X: 106 (0); 1 (1),X: 116 (0); 1 (1),,0.19,H2O,~12.7 um droplets ~35 mm away from the nozzle,CXI Feb2011-1,1/20/2013,12:10:10,12:27:09,16:59,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0116,-449.9884,,,,,,4.5889,-104.6999,2.5791,25,-1399967,35.3687000607684,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,18,1157,104,120648,1061,0.88,44,0.04,~12.7 um droplets ~35 mm away from the nozzle,101,101,18,1157,120648,-1,1,1061,50,10000,0.88,1,44,1000,10,0.04,DONE,1054,106,116,2,1,1,3,2,1056,949,832,0,0,0,0,0,0,0,0,0,0,0,0
102,X: 1051 hits,X: 0 weak; 1051 strong,X: 1041 (0); 7 (2); 3 (3),X: 103 (0); 0 (1),X: 108 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~35 mm away from the nozzle,CXI Feb2011-1,1/20/2013,12:27:12,12:44:31,17:19,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0116,-449.9884,,,,,,4.5889,-104.6999,2.5791,25,-1399967,35.3687000607684,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,18,1200,102,121893,1051,0.86,44,0.04,~12.7 um droplets ~35 mm away from the nozzle,102,102,18,1200,121893,-1,1,1051,50,10000,0.86,1,44,1000,10,0.04,DONE,1041,103,108,0,0,0,7,3,1041,938,830,0,0,0,0,0,0,0,0,0,0,0,0
103,X: 1498 hits,X: 0 weak; 1498 strong,X: 1487 (0); 3 (1); 6 (2); 2 (3),X: 154 (0); 1 (1),X: 162 (0); 1 (1),,0.20,H2O,~12.7 um droplets ~35 mm away from the nozzle,CXI Feb2011-1,1/20/2013,12:44:32,13:09:30,24:58,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,4.5889,-104.6999,2.5791,25,-1399967,35.3687000607684,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,25,1753,99,174011,1498,0.86,76,0.04,~12.7 um droplets ~35 mm away from the nozzle,103,103,25,1753,174011,-1,1,1498,50,10000,0.86,1,76,1000,10,0.04,DONE,1487,154,162,3,1,1,6,2,1490,1335,1172,0,0,0,0,0,0,0,0,0,0,0,0
104,X: 2557 hits,X: 0 weak; 2557 strong,X: 2542 (0); 3 (1); 8 (2); 4 (3),X: 261 (0); 2 (1),X: 296 (0); 1 (1),,0.12,H2O,~12.7 um droplets ~35 mm away from the nozzle,CXI Feb2011-1,1/20/2013,13:09:32,13:53:12,43:40,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,4.5889,-104.6999,2.5791,25,-1399970,35.3687000400711,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,36,2983,104,310714,2557,0.82,110,0.04,~12.7 um droplets ~35 mm away from the nozzle,104,104,36,2983,310714,-1,1,2557,50,10000,0.82,1,110,1000,10,0.04,DONE,2542,261,296,3,2,1,8,4,2545,2282,1985,0,0,0,0,0,0,0,0,0,0,0,0
105,X: 415 hits,X: 0 weak; 415 strong,X: 412 (0); 1 (2); 2 (3),X: 195 (0); 0 (1),X: 215 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~40 mm away from the nozzle,CXI Feb2011-1,1/20/2013,13:55:07,14:05:35,10:28,9400,50,120,150,3.17,1.5x1.5,400,2.78E-02,,,129.0114,-449.9886,,,,,,4.8887,-99.6999,2.7295,24,-1399967,40.3781249035431,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,12,716,103,73828,415,0.56,3,0.00,~12.7 um droplets ~40 mm away from the nozzle,105,105,12,716,73828,-1,1,415,50,10000,0.56,1,3,500,10,0,DONE,412,195,215,0,0,0,1,2,412,217,2,0,0,0,0,0,0,0,0,0,0,0,0
106,X: 444 hits,X: 0 weak; 444 strong,X: 438 (0); 2 (1); 4 (2),X: 64 (0); 1 (1),X: 126 (0); 1 (1),,0.45,H2O,~12.7 um droplets ~40 mm away from the nozzle,CXI Feb2011-1,1/20/2013,14:05:47,14:15:16,9:29,9400,50,120,150,3.17,1.5x1.5,320,5.69E-02,,,129.0114,-449.9886,,,,,,4.8887,-99.6999,2.7295,24,-1399967,40.3781249035431,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,12,642,105,67206,444,0.66,216,0.32,~12.7 um droplets ~40 mm away from the nozzle,106,106,12,642,67206,-1,1,444,50,10000,0.66,1,216,500,10,0.32,DONE,438,64,126,2,1,1,4,0,440,375,248,0,0,0,0,0,0,0,0,0,0,0,0
107,X: 375 hits,X: 0 weak; 375 strong,X: 364 (0); 9 (2); 2 (3),X: 54 (0); 0 (1),X: 122 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~40 mm away from the nozzle,CXI Feb2011-1,1/20/2013,14:15:19,14:28:26,13:07,9400,50,120,150,3.17,1.5x1.5,320,5.69E-02,,,129.0114,-449.9886,,,,,,4.9141,-99.6999,2.7295,24,-1399967,40.3797061526223,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,12,896,103,92611,375,0.40,169,0.18,~12.7 um droplets ~40 mm away from the nozzle,107,107,12,896,92611,-1,1,375,50,10000,0.4,1,169,500,10,0.18,DONE,364,54,122,0,0,0,9,2,364,310,188,0,0,0,0,0,0,0,0,0,0,0,0
108,X: 104 hits,X: 0 weak; 104 strong,X: 100 (0); 3 (2); 1 (3),X: 16 (0); 0 (1),X: 25 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~40 mm away from the nozzle; lots of damaged events,CXI Feb2011-1,1/20/2013,14:15:19,14:31:18,2:49,9400,50,120,150,3.17,1.5x1.5,320,5.69E-02,,,129.0122,-449.9878,,,,,,4.9141,-99.6999,2.7295,24,-1399967,40.3797061526223,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,6,193,102,19743,104,0.53,50,0.25,~12.7 um droplets ~40 mm away from the nozzle; lots of damaged events,108,108,6,193,19743,-1,1,104,50,10000,0.53,1,50,500,10,0.25,DONE,100,16,25,0,0,0,3,1,100,84,59,0,0,0,0,0,0,0,0,0,0,0,0
109,X: 174 hits,X: 0 weak; 174 strong,X: 171 (0); 3 (2),X: 31 (0); 0 (1),X: 45 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~40 mm away from the nozzle; damaged events,CXI Feb2011-1,1/20/2013,14:31:29,14:36:14,4:45,9400,50,120,150,3.17,1.5x1.5,320,5.69E-02,,,129.0114,-449.9886,,,,,,4.9141,-99.6999,2.7295,24,-1399967,40.3797061526223,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,6,329,99,32708,174,0.53,82,0.25,~12.7 um droplets ~40 mm away from the nozzle; damaged events,109,109,6,329,32708,-1,1,174,50,10000,0.53,1,82,500,10,0.25,DONE,171,31,45,0,0,0,3,0,171,140,95,0,0,0,0,0,0,0,0,0,0,0,0
110,X: 100 hits,X: 0 weak; 100 strong,X: 96 (0); 1 (1); 3 (2),X: 12 (0); 0 (1),X: 20 (0); 1 (1),,1.03,H2O,~12.7 um droplets ~40 mm away from the nozzle; stopped to increase transmission,CXI Feb2011-1,1/20/2013,14:36:17,14:38:51,2:34,9400,50,120,150,3.17,1.5x1.5,320,5.69E-02,,,129.0114,-449.9886,,,,,,4.9141,-99.6999,2.7295,24,-1399967,40.3797061526223,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,6,177,104,18402,100,0.54,62,0.34,~12.7 um droplets ~40 mm away from the nozzle; stopped to increase transmission,110,110,6,177,18402,-1,1,100,50,10000,0.54,1,62,500,10,0.34,DONE,96,12,20,1,0,1,3,0,97,85,64,0,0,0,0,0,0,0,0,0,0,0,0
111,X: 228 hits,X: 0 weak; 228 strong,X: 225 (0); 2 (2); 1 (3),X: 30 (0); 0 (1),X: 24 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~40 mm away from the nozzle,CXI Feb2011-1,1/20/2013,14:39:32,14:45:06,5:34,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,4.9141,-99.6999,2.7295,24,-1399967,40.3797061526223,40 mm mean,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,6,378,106,39955,228,0.57,10,0.03,~12.7 um droplets ~40 mm away from the nozzle,111,111,6,378,39955,-1,1,228,50,10000,0.57,1,10,1000,10,0.03,DONE,225,30,24,0,0,0,2,1,225,195,171,0,0,0,0,0,0,0,0,0,0,0,0
112,X: 85 hits,X: 0 weak; 85 strong,X: 83 (0); 2 (3),X: 15 (0); 0 (1),X: 13 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~40 mm away from the nozzle,CXI Feb2011-1,1/20/2013,14:45:08,14:46:47,1:39,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,4.9141,-99.6999,2.7295,24,-1399967,40.3797061526223,40.3787409506768,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,6,112,104,11670,85,0.73,1,0.01,~12.7 um droplets ~40 mm away from the nozzle,112,112,6,112,11670,-1,1,85,50,10000,0.73,1,1,1000,10,0.01,DONE,83,15,13,0,0,0,2,0,83,68,55,0,0,0,0,0,0,0,0,0,0,0,0
113,X: 49 hits,X: 0 weak; 49 strong,X: 48 (0); 1 (2),X: 4 (0); 0 (1),X: 6 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~40 mm away from the nozzle,CXI Feb2011-1,1/20/2013,14:46:53,14:47:51,0:58,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,4.9043,-99.6999,2.7295,24,-1399975,40.3790939813528,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,6,66,103,6798,49,0.72,1,0.01,~12.7 um droplets ~40 mm away from the nozzle,113,113,6,66,6798,-1,1,49,50,10000,0.72,1,1,1000,10,0.01,DONE,48,4,6,0,0,0,1,0,48,44,38,0,0,0,0,0,0,0,0,0,0,0,0
114,X: 256 hits,X: 0 weak; 256 strong,X: 252 (0); 1 (1); 2 (2); 1 (3),X: 32 (0); 1 (1),X: 40 (0); 0 (1),,0.40,H2O,~12.7 um droplets ~40 mm away from the nozzle; DAQ problems,CXI Feb2011-1,1/20/2013,14:48:02,14:53:36,5:34,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,4.9043,-99.6999,2.7295,24,-1399975,40.3790939813528,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,6,397,96,37989,256,0.67,5,0.01,~12.7 um droplets ~40 mm away from the nozzle; DAQ problems,114,114,6,397,37989,-1,1,256,50,10000,0.67,1,5,1000,10,0.01,DONE,252,32,40,1,1,0,2,1,253,220,180,0,0,0,0,0,0,0,0,0,0,0,0
115,X: 172 hits,X: 0 weak; 172 strong,X: 169 (0); 1 (1); 2 (2),X: 22 (0); 0 (1),X: 31 (0); 0 (1),,0.59,H2O,~12.7 um droplets ~40 mm away from the nozzle,CXI Feb2011-1,1/20/2013,14:53:43,14:57:37,3:54,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,4.9043,-99.6999,2.7295,24,-1399975,40.3790939813528,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,6,264,106,28012,172,0.61,4,0.01,~12.7 um droplets ~40 mm away from the nozzle,115,115,6,264,28012,-1,1,172,50,10000,0.61,1,4,1000,10,0.01,DONE,169,22,31,1,0,0,2,0,170,148,117,0,0,0,0,0,0,0,0,0,0,0,0
116,X: 330 hits,X: 0 weak; 330 strong,X: 323 (0); 1 (1); 4 (2); 2 (3),X: 39 (0); 1 (1),X: 51 (0); 0 (1),,0.31,H2O,~12.7 um droplets ~40 mm away from the nozzle,CXI Feb2011-1,1/20/2013,14:57:39,15:04:26,6:47,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,4.9043,-99.6999,2.7295,24,-1399975,40.3790939813528,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,6,464,104,48348,330,0.68,7,0.01,~12.7 um droplets ~40 mm away from the nozzle,116,116,6,464,48348,-1,1,330,50,10000,0.68,1,7,1000,10,0.01,DONE,323,39,51,1,1,0,4,2,324,284,233,0,0,0,0,0,0,0,0,0,0,0,0
117,X: 314 hits,X: 0 weak; 314 strong,X: 310 (0); 3 (2); 1 (3),X: 42 (0); 0 (1),X: 40 (0); 0 (1),,0.00,H2O,~12.7 um droplets ~40 mm away from the nozzle,CXI Feb2011-1,1/20/2013,15:04:29,15:10:59,6:30,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,4.9043,-99.6999,2.7295,24,-1399975,40.3790939813528,,4.60E-04,,300,175,SINE,2.00E+05,20,,,,,,,,,,6,442,106,46672,314,0.67,4,0.01,~12.7 um droplets ~40 mm away from the nozzle,117,117,6,442,46672,-1,1,314,50,10000,0.67,1,4,1000,10,0.01,DONE,310,42,40,0,0,0,3,1,310,268,228,0,0,0,0,0,0,0,0,0,0,0,0
118,X: 597 hits,,,,,,,H2O,~14.5 um droplets ~45 mm away from the nozzle,CXI Feb2011-1,1/20/2013,15:38:56,15:48:34,9:38,9400,50,120,150,3.17,1.5x1.5,320,5.69E-02,,,129.0114,-449.9886,,,,,,5.1436,-94.6999,2.9287,26,-1500238,45.3839723431637,,4.60E-04,,300,211,SINE,2.00E+05,20,,,,,,,,226.46,,12,668,103,68654,597,0.87,293,0.43,~14.5 um droplets ~45 mm away from the nozzle,118,118,12,668,68654,-1,1,597,50,10000,0.87,1,293,500,10,0.43,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0
119,X: 230 hits,,,,,,,H2O,~14.5 um droplets ~45 mm away from the nozzle,CXI Feb2011-1,1/20/2013,15:48:58,15:52:28,3:30,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,5.1436,-94.6999,2.9287,26,-1500238,45.3839723431637,,4.60E-04,,300,211,SINE,2.00E+05,20,,,,,,,,,,6,237,105,25001,230,0.92,11,0.04,~14.5 um droplets ~45 mm away from the nozzle,119,119,6,237,25001,-1,1,230,50,10000,0.92,1,11,1000,10,0.04,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0
120,X: 545 hits,,,,,,,H2O,~14.5 um droplets ~45 mm away from the nozzle,CXI Feb2011-1,1/20/2013,15:52:30,16:02:01,9:31,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,5.1436,-94.6999,2.9287,26,-1500238,45.3839723431637,,4.60E-04,,300,211,SINE,2.00E+05,20,,,,,,,,,,12,656,102,67024,545,0.81,14,0.02,~14.5 um droplets ~45 mm away from the nozzle,120,120,12,656,67024,-1,1,545,50,10000,0.81,1,14,1000,10,0.02,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0
121,X: 45 hits,,,,,,,H2O,~14.5 um droplets ~45 mm away from the nozzle,CXI Feb2011-1,1/20/2013,16:02:03,16:02:41,0:40,9400,50,120,150,3.17,1.5x1.5,240,1.16E-01,,,129.0114,-449.9886,,,,,,5.1436,-94.6999,2.9287,26,-1500238,45.3839723431637,,4.60E-04,,300,211,SINE,2.00E+05,20,,,,,,,,,,6,49,90,4422,45,1.02,3,0.07,~14.5 um droplets ~45 mm away from the nozzle,121,121,6,49,4422,-1,1,45,50,10000,1.02,1,3,1000,10,0.07,DONE,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,0
