16,,,,,H2O,~60 um droplets ~1 mm away from the nozzle; high Q,droplet dispenser,-399.9996,179.0004,2/26/2011, 19:06:03, 19:11:56,5:53,9367,50,120,150,3.17,2x3,,,,,,-11.7723,61.874,-13.1,3334.001,-59629.999,0.96,,NO,,,SINE,31440,7,12,,,120Hz-Cont,4,211.447,97.42,41009
17,,,,,H2O,~60 um droplets ~1 mm away from the nozzle; low Q,droplet dispenser,-160.0002,418.9998,2/26/2011, 19:13:55, 19:31:00,17:05,9367,50,120,150,3.17,2x3,,,,,,-11.7723,61.874,-13.1,3334.001,-59629.999,0.96,,NO,,,SINE,31440,7,12,,,120Hz-Cont,8,574.906,10.28,7530
18,,,,,H2O,~60 um droplets ~1 mm away from the nozzle; low Q,droplet dispenser,-160.0002,418.9998,2/26/2011, 19:31:09, 19:32:51,1:42,9367,50,120,150,3.17,2x3,,,,,,-11.7723,61.874,-13.1,3334.001,-59629.999,0.96,,NO,,,SINE,31440,7,12,,,120Hz-Cont,4,60.8856,9.12,1105
19,,,,,H2O,~60 um droplets ~3 mm away from the nozzle; high Q,droplet dispenser,-399.9998,179.0002,2/26/2011, 20:10:50, 20:12:59,2:09,9367,50,120,150,3.17,2x3,,,,,,-11.7822,64.0942,-13.1,3292.999,-59629.999,3.18,,RULER,,,SINE,31440,7,12,,,120Hz-Cont,4,77.0096,23.3,3572
20,,,,,H2O,~60 um droplets ~3 mm away from the nozzle; high Q,droplet dispenser,-399.9998,179.0002,2/26/2011, 20:13:29, 20:18:34,5:05,9367,50,120,150,3.17,2x3,,,,,,-11.7822,64.0942,-13.1,3292.999,-59629.999,3.18,,NO,,,SINE,31440,7,12,,,120Hz-Cont
21,,,,,H2O,~60 um droplets ~3 mm away from the nozzle; low Q,droplet dispenser,-160.0002,418.9998,2/26/2011, 20:20:26, 20:29:58,9:32,9367,50,120,150,3.17,2x3,,,,,,-11.7822,64.0942,-13.1,3292.999,-59629.999,3.18,,NO,,,SINE,31440,7,12,,,120Hz-Cont,4,300.911,7.6,5136
22,,,,,H2O,~60 um droplets ~3 mm away from the nozzle; low Q,droplet dispenser,-160.0002,418.9998,2/26/2011, 20:30:06, 20:45:08,15:02,9367,50,120,150,3.17,2x3,,,,,,-11.7822,64.0942,-13.1,3283.001,-59629.999,3.18,,NO,,,SINE,31440,7,12,,,120Hz-Cont
23,,,,,H2O,~50 um droplets ~6 mm away from the nozzle; high Q,droplet dispenser,-399.9998,179.0002,2/26/2011, 21:07:25, 21:12:40,5:15,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3412.999,-59629.999,5.68,,RULER,4.00E-03,2.00E-03,SINE,50040,7,12,,,120Hz-Cont,4,165.375,22.11,8214
24,,,,,H2O,~50 um droplets ~6 mm away from the nozzle; low Q,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:15:17, 21:20:20,5:03,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3412.999,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,161.044,6.89,2492
25,,,,,H2O,~50 um droplets ~6 mm away from the nozzle; low Q,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:20:21, 21:32:00,11:39,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3412.999,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,8,370.953,6.91,5710
26,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q +20 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:32:04, 21:33:13,1:09,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3393,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,36.1684,6.89,560
